,MONTH,SOURCE_SYS_CD,PRICE_TO_BP,BID_MARGIN_TOTAL,BID_MARGIN,BID_DISCOUNT,STOP_BIDS,BPCOPS,MISSING,COUNTRY,CONFIDENTIALITY,ROUTE_TO_MARKET,NON_COMPETITIVE_BID,OFF_SHORE_PMT_TERMS,BUNDLED_SOLUTION,CONTINGENCY_FEE,FOCUS,HW_SW,bid_id
22147,11,SQO,321811.3041,25128.5165,7.2429,9.205,0,0,0,IT,N,N,N,N,N,N,0,SW,9096242
22148,11,SQO,19274.8666,2141.6518,10,37,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9100009
22149,11,SQO,25454.5494,2828.2838,10,30.7,0,0,0,IT,N,N,N,N,N,N,0,SW,9100156
22150,11,SQO,22092.4634,2454.7181,10,36.9999,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9100471
22151,11,SQO,22092.4634,2454.7181,10,36.9999,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9100605
22152,11,SQO,22092.4634,2454.7181,10,36.9999,0,0,0,IT,N,N,N,N,N,N,0,SW,9101037
22153,11,SQO,22092.4634,2454.7181,10,36.9999,0,0,0,IT,N,N,N,N,N,N,0,SW,9101725
22154,11,SQO,25454.5494,2828.2838,10,30.7,0,0,0,IT,N,N,N,N,N,N,0,SW,9108974
22155,12,SQO,34246.65,3805.1833,10,23.5,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9156798
22156,12,SQO,367226.6028,30235.3404,7.6071,23.1772,0,0,0,IT,N,N,N,N,N,N,0,SW,9223285
22157,12,SQO,320197.2863,25005.0994,7.2436,9.1966,0,0,0,IT,N,N,N,N,N,N,0,SW,9227835
22158,1,SQO,14816.51,1646.1885,9.9995,32.4996,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9328112
22159,4,SQO,15145.69,1317.0165,8,30.9999,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9600157
22160,11,SQO,25454.5494,2828.2838,10,30.7,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9113669
22161,11,SQO,22092.4634,2454.7181,10,36.9999,0,0,0,IT,N,N,N,N,N,N,0,SW,9113685
22162,11,SQO,22092.4634,2454.7181,10,36.9999,0,0,0,IT,N,Y,N,N,N,N,0,SW,9114094
22163,11,SQO,22440.28,2493.3649,10,30.7,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9114154
22164,12,SQO,365032.1192,28503.3979,7.2429,9.205,0,0,0,IT,N,Y,N,N,Y,N,0,SW,9153095
22165,12,SQO,34246.65,3805.1833,10,23.5,0,0,0,IT,N,Y,N,N,N,N,0,SW,9156975
22166,12,SQO,321811.3041,25128.5165,7.2429,9.205,0,0,0,IT,N,Y,N,N,Y,N,0,SW,9158668
22167,12,SQO,27264.26,3031.0799,10.0051,80.6487,0,0,0,IT,N,N,N,N,N,N,0,SW,9188012
22168,12,SQO,23381.3647,2590.659,9.9748,76.1379,0,0,0,IT,N,N,N,N,N,N,0,SW,9227115
22169,12,SQO,17328.919,1925.4161,9.9999,54.9999,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9234950
22170,12,SQO,51428.4,5714.209,9.9999,60.3099,0,0,0,IT,N,Y,N,N,N,N,0,SW,9235703
22171,12,SQO,26490.8076,2935.1858,9.9748,76.1379,0,0,0,IT,N,N,N,N,N,N,0,SW,9238327
22172,12,SQO,58267.7777,6474.1322,9.9999,60.3099,0,0,0,IT,N,N,N,N,N,N,0,SW,9238341
22173,12,SQO,339849.7178,26599.465,7.2587,9.3398,0,0,0,IT,N,N,N,N,N,N,0,SW,9239471
22174,12,SQO,362773.6649,28330.0076,7.2436,9.1966,0,0,0,IT,N,N,N,N,N,N,0,SW,9240135
22175,12,SQO,273703.8864,21526.4435,7.2914,4.1713,0,0,0,IT,N,N,N,N,N,N,0,SW,9258341
22176,12,SQO,36518.6403,4057.6267,10,28,0,0,0,IT,N,Y,N,N,N,N,0,SW,9259207
22177,2,SQO,60555.2696,6728.2934,9.9999,61.2999,0,0,0,IT,N,N,N,N,N,N,0,SW,9346827
22178,2,SQO,24178.182,2686.465,10,45.3699,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,9435204
22179,9,SQO,159223.223,13847.3862,8.001,84.3601,0,0,0,IT,N,N,N,N,N,N,0,SW,10065490
